sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SAE1_-_47634169.23-P1P2|SAE1_-_47634161.23-P1P2	SAE1	13.272	194.94	13.272	194.94	3.7791	16501	42.062	28.011	1	6.162e-173	1.2324e-172	1.3841e-169	True
RNF20_+_104296142.23-P1P2|RNF20_+_104296191.23-P1P2	RNF20	0	41.56	1.0209	41.56	4.3964	863.62	2.1467	27.669	1	1.0929e-168	2.1857e-168	2.332e-165	True
WDR26_+_224622428.23-P1P2|WDR26_+_224622446.23-P1P2	WDR26	77.592	579.86	77.592	579.86	2.8857	1.2614e+05	345.77	27.011	1	5.4492e-161	1.0898e-160	1.1074e-157	True
FBXO48_+_68694108.23-P1P2|FBXO48_+_68694419.23-P1P2	FBXO48	0	40.571	1.0209	40.571	4.3625	822.98	2.1467	26.994	1	1.1636e-160	2.3272e-160	2.2573e-157	True
KIAA1161_+_34376908.23-P1P2|KIAA1161_+_34376837.23-P1P2	KIAA1161	7.1466	119.73	7.1466	119.73	3.8895	6337.8	20.313	24.98	1	5.3282e-138	1.0656e-137	9.8869e-135	True
NFYC_+_41157619.23-P1P2|NFYC_+_41157405.23-P1P2	NFYC	11.23	156.34	11.23	156.34	3.6854	10529	34.541	24.691	1	6.825e-135	1.365e-134	1.2136e-131	True
CCR3_-_46284175.23-P1P2|CCR3_-_46283977.23-P1P2	CCR3	0	36.612	1.0209	36.612	4.2181	670.24	2.1467	24.292	1	1.5728e-130	3.1456e-130	2.6849e-127	True
TXN_-_113018848.23-P1P2|TXN_+_113018808.23-P1P2	TXN	102.09	626.37	102.09	626.37	2.6054	1.3743e+05	481.45	23.894	1	1.7823e-126	3.5646e-126	2.9256e-123	True
DEGS1_+_224370968.23-P1P2|DEGS1_+_224370936.23-P1P2	DEGS1	8.1675	123.69	8.1675	123.69	3.7657	6672.8	23.755	23.703	1	1.7819e-124	3.5639e-124	2.8166e-121	True
STPG2_-_99064245.23-P1P2|STPG2_-_99064152.23-P1P2	STPG2	1.0209	35.623	1.0209	35.623	4.1796	598.65	2.1467	23.617	1	1.7177e-123	3.4353e-123	2.6181e-120	True
RRM2_+_10262870.23-P1P2|RRM2_+_10262952.23-P1P2	RRM2	37.775	320.61	37.775	320.61	3.0521	39997	145.75	23.427	1	1.1342e-121	2.2685e-121	1.6692e-118	True
KCNJ18_-_21280051.23-P1P2|KCNJ18_-_21280171.23-P1P2	KCNJ18	43.9	352.27	43.9	352.27	2.976	47546	174.46	23.346	1	7.5083e-121	1.5017e-120	1.0681e-117	True
ZBTB46_+_62462503.23-P1P2|ZBTB46_+_62462565.23-P1P2	ZBTB46	62.277	430.44	62.277	430.44	2.7694	67773	265.4	22.599	1	2.1958e-113	4.3917e-113	3.023e-110	True
RRM1_+_4116464.23-P1P2|RRM1_+_4116116.23-P1P2	RRM1	14.293	164.26	14.293	164.26	3.4338	11245	45.91	22.133	1	7.7045e-109	1.5409e-108	1.0275e-105	True
C1orf56_-_151020255.23-P1P2|C1orf56_-_151020250.23-P1P2	C1orf56	616.65	2057.2	616.65	2057.2	1.7365	1.0376e+06	4299	21.971	1	2.7276e-107	5.4552e-107	3.5275e-104	True
PRNP_+_4667519.23-P1P2|PRNP_-_4667175.23-P1P2	PRNP	86.78	521.48	86.78	521.48	2.5734	94482	395.7	21.853	1	3.6627e-106	7.3254e-106	4.5976e-103	True
PNMAL2_-_46999086.23-P1P2|PNMAL2_+_46999093.23-P1P2	PNMAL2	0	32.654	1.0209	32.654	4.0577	533.15	2.1467	21.591	1	1.4567e-103	2.9134e-103	1.7763e-100	True
KIF14_+_200589734.23-P1P2|KIF14_+_200589810.23-P1P2	KIF14	142.93	699.59	142.93	699.59	2.2832	1.5494e+05	723.33	20.698	1	1.8145e-95	3.6289e-95	2.151e-92	True
L3MBTL2_-_41601313.23-P1P2|L3MBTL2_-_41601390.23-P1P2	L3MBTL2	10.209	124.68	10.209	124.68	3.487	6551.8	30.875	20.601	1	1.3838e-94	2.7675e-94	1.5961e-91	True
SLBP_-_1713995.23-P1P2|SLBP_+_1713634.23-P1P2	SLBP	5.1047	81.141	5.1047	81.141	3.7501	2890.8	13.711	20.535	1	5.7339e-94	1.1468e-93	6.4398e-91	True
USP8_+_50716821.23-P1P2|USP8_-_50716851.23-P1P2	USP8	0	30.675	1.0209	30.675	3.9703	470.49	2.1467	20.24	1	2.8879e-91	5.7758e-91	3.1603e-88	True
SLC9A4_-_103090203.23-P1P2|SLC9A4_-_103090216.23-P1P2	SLC9A4	85.759	481.9	85.759	481.9	2.4766	78463	390.1	20.057	1	8.7904e-90	1.7581e-89	9.3789e-87	True
LRR1_+_50065858.23-P1P2|LRR1_-_50065670.23-P1P2	LRR1	27.565	224.62	27.565	224.62	2.9816	19416	100.08	19.698	1	1.121e-86	2.242e-86	1.1669e-83	True
ZSCAN18_+_58609561.23-P1|ZSCAN18_+_58609581.23-P1	ZSCAN18	761.62	2216.5	761.62	2216.5	1.5399	1.0584e+06	5570.3	19.494	1	6.183e-85	1.2366e-84	6.2828e-82	True
PTTG1_-_159848937.23-P1P2|PTTG1_-_159848943.23-P1P2	PTTG1	30.628	236.5	30.628	236.5	2.9086	21191	113.47	19.327	1	1.6077e-83	3.2154e-83	1.5957e-80	True
UBR4_-_19536410.23-P1P2|UBR4_-_19536774.23-P1P2	UBR4	45.942	305.76	45.942	305.76	2.7082	33753	184.23	19.142	1	5.6017e-82	1.1203e-81	5.4334e-79	True
ZBTB17_-_16302540.23-P1P2|ZBTB17_-_16302519.23-P1P2	ZBTB17	2.0419	43.539	2.0419	43.539	3.872	861.01	4.7451	19.05	1	3.9714e-81	7.9427e-81	3.7664e-78	True
KRT2_-_53045956.23-P1P2|KRT2_-_53045945.23-P1P2	KRT2	174.58	749.07	174.58	749.07	2.0949	1.6502e+05	921.91	18.921	1	3.849e-80	7.6981e-80	3.5711e-77	True
GSTO1_-_106015047.23-P1P2|GSTO1_-_106015033.23-P1P2	GSTO1	10.209	114.78	10.209	114.78	3.3687	5468	30.875	18.82	1	2.6586e-79	5.3172e-79	2.4141e-76	True
C1orf51_-_150255008.23-P1P2|C1orf51_-_150254957.23-P1P2	C1orf51	210.31	848.02	210.31	848.02	2.0064	2.0334e+05	1155.9	18.757	1	8.5377e-79	1.7075e-78	7.5911e-76	True
UBA3_+_69129471.23-P1P2|UBA3_-_69129485.23-P1P2	UBA3	136.81	627.36	136.81	627.36	2.1889	1.2032e+05	685.95	18.73	1	1.4073e-78	2.8147e-78	1.2258e-75	True
LSM11_-_157170761.23-P1P2|LSM11_-_157170775.23-P1P2	LSM11	13.272	134.58	13.272	134.58	3.2478	7357.2	42.062	18.704	1	2.362e-78	4.7239e-78	2.0161e-75	True
CUL1_-_148396020.23-P1P2|CUL1_-_148396040.23-P1P2	CUL1	510.47	1602	510.47	1602	1.6481	5.9576e+05	3410.6	18.691	1	2.9169e-78	5.8338e-78	2.4409e-75	True
MIS18BP1_+_45722381.23-P1P2|MIS18BP1_+_45722268.23-P1P2	MIS18BP1	2.0419	42.55	2.0419	42.55	3.8396	820.44	4.7451	18.596	1	2.1029e-77	4.2057e-77	1.7259e-74	True
SETD8_+_123873479.23-P1|SETD8_+_123873420.23-P1	SETD8	403.27	1338.8	403.27	1338.8	1.7287	4.3763e+05	2556.2	18.504	1	9.5479e-77	1.9096e-76	7.6884e-74	True
ITGA4_+_182322245.23-P1P2|ITGA4_-_182322158.23-P1P2	ITGA4	17.356	157.33	17.356	157.33	3.1087	9797	57.766	18.417	1	4.8244e-76	9.6488e-76	3.8129e-73	True
NEDD8_+_24701514.23-P1P2|NEDD8_+_24701539.23-P1P2	NEDD8	29.607	221.65	29.607	221.65	2.8629	18441	108.97	18.397	1	6.943e-76	1.3886e-75	5.3875e-73	True
DLX3_+_48072554.23-P1P2|DLX3_+_48072354.23-P1P2	DLX3	124.55	564.03	124.55	564.03	2.17	96569	612.3	17.76	1	7.1643e-71	1.4329e-70	5.46e-68	True
NAE1_+_66864833.23-P1P2|NAE1_+_66864757.23-P1P2	NAE1	338.95	1142.9	338.95	1142.9	1.7506	3.2317e+05	2067.4	17.681	1	2.9276e-70	5.8552e-70	2.192e-67	True
SETD1B_+_122242041.23-P1P2|SETD1B_-_122242159.23-P1P2	SETD1B	0	26.717	1.0209	26.717	3.7777	356.9	2.1467	17.538	1	4.8293e-69	9.6585e-69	3.5535e-66	True
CALR_+_13049478.23-P1P2|CALR_-_13049450.23-P1P2	CALR	210.31	796.57	210.31	796.57	1.9162	1.7185e+05	1155.9	17.243	1	6.2892e-67	1.2578e-66	4.5493e-64	True
COPRS_-_30186172.23-P1P2|COPRS_+_30186241.23-P1P2	COPRS	1004.6	2529.2	1004.6	2529.2	1.3312	1.1622e+06	7828.1	17.232	1	7.645e-67	1.529e-66	5.4379e-64	True
TAL1_+_47696811.23-ENST00000371884.2|TAL1_-_47697072.23-ENST00000371884.2	TAL1	85.759	419.56	85.759	419.56	2.2772	55711	390.1	16.901	1	2.229e-64	4.4579e-64	1.5595e-61	True
EBNA1BP2_-_43637779.23-P1P2|EBNA1BP2_+_43637890.23-P1P2	EBNA1BP2	0	25.728	1.0209	25.728	3.7252	330.96	2.1467	16.863	1	5.5711e-64	1.1142e-63	3.774e-61	True
ELN_+_73442729.23-P1P2|ELN_-_73442718.23-P1P2	ELN	1.0209	25.728	1.0209	25.728	3.7252	305.21	2.1467	16.863	1	5.5711e-64	1.1142e-63	3.774e-61	True
LSM10_-_36863497.23-P1P2|LSM10_-_36863481.23-P1P2	LSM10	160.29	645.17	160.29	645.17	2.0023	1.1756e+05	831.14	16.819	1	8.8651e-64	1.773e-63	5.9116e-61	True
EIF4E_-_99850247.23-P1P2|EIF4E_+_99849828.23-P1P2	EIF4E	18.377	149.42	18.377	149.42	2.9566	8585.9	61.814	16.667	1	1.1435e-62	2.2871e-62	7.5083e-60	True
SAP130_+_128785641.23-P1P2|SAP130_+_128785612.23-P1P2	SAP130	27.565	190.98	27.565	190.98	2.7486	13352	100.08	16.335	1	2.7866e-60	5.5732e-60	1.8019e-57	True
VDAC2_+_76970831.23-P1P2|VDAC2_+_76970763.23-P1P2	VDAC2	2.0419	37.602	2.0419	37.602	3.6656	632.26	4.7451	16.325	1	3.9993e-60	7.9986e-60	2.5475e-57	True
UBA1_-_47053260.23-P1|UBA1_-_47053257.23-P1	UBA1	385.92	1184.5	385.92	1184.5	1.6154	3.1884e+05	2422.4	16.225	1	1.6896e-59	3.3793e-59	1.0604e-56	True
ATP6V0D1_-_67515053.23-P1P2|ATP6V0D1_-_67515028.23-P1P2	ATP6V0D1	1.0209	24.738	1.0209	24.738	3.6708	281.25	2.1467	16.188	1	4.0794e-59	8.1587e-59	2.4871e-56	True
BCAS2_+_115124198.23-P1P2|BCAS2_-_115124045.23-P1P2	BCAS2	1.0209	24.738	1.0209	24.738	3.6708	281.25	2.1467	16.188	1	4.0794e-59	8.1587e-59	2.4871e-56	True
RPS6KA6_+_83442736.23-P1P2|RPS6KA6_+_83443053.23-P1P2	RPS6KA6	6.1256	72.235	6.1256	72.235	3.3614	2185.2	16.962	16.052	1	2.9668e-58	5.9337e-58	1.7834e-55	True
METTL21A_+_208489977.23-P1P2|METTL21A_-_208489914.23-P1P2	METTL21A	365.5	1129	365.5	1129	1.6245	2.9151e+05	2266.8	16.037	1	3.5061e-58	7.0122e-58	2.0782e-55	True
PSMD13_-_237015.23-P1P2|PSMD13_+_237011.23-P1P2	PSMD13	0	23.749	1.0209	23.749	3.6142	282	2.1467	15.512	1	1.8962e-54	3.7924e-54	1.0648e-51	True
ACTR5_-_37377178.23-P1P2|ACTR5_+_37377152.23-P1P2	ACTR5	0	23.749	1.0209	23.749	3.6142	282	2.1467	15.512	1	1.8962e-54	3.7924e-54	1.0648e-51	True
UBE2T_-_202310883.23-P1P2|UBE2T_-_202311067.23-P1P2	UBE2T	0	23.749	1.0209	23.749	3.6142	282	2.1467	15.512	1	1.8962e-54	3.7924e-54	1.0648e-51	True
NPAT_-_108093360.23-P1P2|NPAT_+_108093330.23-P1P2	NPAT	0	23.749	1.0209	23.749	3.6142	282	2.1467	15.512	1	1.8962e-54	3.7924e-54	1.0648e-51	True
DESI1_-_42017036.23-P1P2|DESI1_-_42017080.23-P1P2	DESI1	221.54	763.91	221.54	763.91	1.7812	1.4708e+05	1231.4	15.456	1	3.4483e-54	6.8967e-54	1.9113e-51	True
SRRT_+_100472814.23-P1P2|SRRT_+_100472790.23-P1P2	SRRT	2.0419	35.623	2.0419	35.623	3.5897	563.84	4.7451	15.416	1	7.7361e-54	1.5472e-53	4.2328e-51	True
CIT_-_120314748.23-P1P2|CIT_+_120315103.23-P1P2	CIT	114.35	473.98	114.35	473.98	2.0419	64669	552.12	15.305	1	3.5134e-53	7.0268e-53	1.898e-50	True
RB1_+_48878000.23-P1P2|RB1_+_48878010.23-P1P2	RB1	2482.9	4842.7	2482.9	4842.7	0.9635	2.7843e+06	23894	15.266	1	6.4222e-53	1.2844e-52	3.4261e-50	True
SMEK1_-_91976740.23-P1P2|SMEK1_+_91976179.23-P1P2	SMEK1	483.93	1342.8	483.93	1342.8	1.4705	3.6882e+05	3194.8	15.195	1	1.9062e-52	3.8124e-52	1.0044e-49	True
CLOCK_-_56412950.23-P1P2|CLOCK_-_56412965.23-P1P2	CLOCK	136.81	529.4	136.81	529.4	1.9444	77063	685.95	14.99	1	4.2868e-51	8.5736e-51	2.2311e-48	True
PUF60_-_144911459.23-P1P2|PUF60_-_144911439.23-P1P2	PUF60	0	22.759	1.0209	22.759	3.5554	258.99	2.1467	14.837	1	5.5962e-50	1.1192e-49	2.8098e-47	True
EXOC5_+_57735310.23-P1P2|EXOC5_+_57735449.23-P1P2	EXOC5	0	22.759	1.0209	22.759	3.5554	258.99	2.1467	14.837	1	5.5962e-50	1.1192e-49	2.8098e-47	True
ADPGK_+_73076082.23-P1P2|ADPGK_+_73076066.23-P1P2	ADPGK	36.754	212.75	36.754	212.75	2.5012	15487	141.06	14.818	1	5.5821e-50	1.1164e-49	2.8098e-47	True
HINFP_-_118992315.23-P1P2|HINFP_-_118992311.23-P1P2	HINFP	16.335	124.68	16.335	124.68	2.858	5869.3	53.764	14.776	1	1.0568e-49	2.1137e-49	5.2446e-47	True
TPRKB_+_73964387.23-P1P2|TPRKB_-_73964451.23-P1P2	TPRKB	10.209	92.026	10.209	92.026	3.0529	3347	30.875	14.724	1	2.3225e-49	4.645e-49	1.1393e-46	True
EAPP_-_35008838.23-P1P2|EAPP_-_35008701.23-P1P2	EAPP	61.256	296.86	61.256	296.86	2.2583	27754	260.18	14.606	1	1.2777e-48	2.5554e-48	6.1966e-46	True
GPKOW_-_48980022.23-P1P2|GPKOW_-_48979874.23-P1P2	GPKOW	8.1675	79.162	8.1675	79.162	3.1283	2520.1	23.755	14.566	1	2.4129e-48	4.8258e-48	1.157e-45	True
ZNF84_-_133614119.23-P1P2|ZNF84_-_133614065.23-P1P2	ZNF84	66.361	312.69	66.361	312.69	2.2194	30339	286.46	14.554	1	2.7484e-48	5.4967e-48	1.3033e-45	True
CST9L_-_23549074.23-P1P2|CST9L_+_23549104.23-P1P2	CST9L	115.37	458.15	115.37	458.15	1.9803	58750	558.09	14.51	1	5.232e-48	1.0464e-47	2.4537e-45	True
EXOSC8_-_37574969.23-P1P2|EXOSC8_-_37574976.23-P1P2	EXOSC8	6.1256	64.319	6.1256	64.319	3.1964	1693.2	16.962	14.13	1	1.3328e-45	2.6655e-45	6.1826e-43	True
TFIP11_+_26908413.23-P1P2|TFIP11_+_26908398.23-P1P2	TFIP11	5.1047	57.392	5.1047	57.392	3.2578	1367	13.711	14.121	1	1.5351e-45	3.0702e-45	7.0445e-43	True
C9orf37_+_140513241.23-P1P2|C9orf37_-_140513022.23-P1P2	C9orf37	403.27	1116.2	403.27	1116.2	1.4665	2.5412e+05	2556.2	14.101	1	1.8831e-45	3.7663e-45	8.5498e-43	True
MIDN_-_1248620.23-P2|MIDN_-_1248697.23-P2	MIDN	188.87	635.28	188.87	635.28	1.7446	99637	1014.3	14.016	1	6.2001e-45	1.24e-44	2.7854e-42	True
RABL6_+_139702517.23-P1P2|RABL6_-_139702407.23-P1P2	RABL6	990.31	2217.5	990.31	2217.5	1.1622	7.5303e+05	7691.3	13.993	1	8.5651e-45	1.713e-44	3.8077e-42	True
CPNE7_+_89642219.23-P1P2|CPNE7_+_89642204.23-P1P2	CPNE7	214.4	687.72	214.4	687.72	1.6769	1.1202e+05	1183.3	13.76	1	2.2234e-43	4.4468e-43	9.7826e-41	True
CD2BP2_-_30366557.23-P1P2|CD2BP2_-_30366596.23-P1P2	CD2BP2	86.78	355.24	86.78	355.24	2.0209	36035	395.7	13.496	1	8.2911e-42	1.6582e-41	3.6107e-39	True
GTF2H2C_+_68856066.23-P1P2|GTF2H2C_-_68856063.23-P1P2	GTF2H2C	4.0838	47.497	4.0838	47.497	3.2539	942.36	10.575	13.35	1	6.6025e-41	1.3205e-40	2.8463e-38	True
THEMIS2_-_28199085.23-P1P2|THEMIS2_+_28199088.23-P1P2	THEMIS2	38.796	201.86	38.796	201.86	2.3498	13295	150.48	13.293	1	1.2666e-40	2.5332e-40	5.4056e-38	True
NCDN_+_36023494.23-P1P2|NCDN_-_36023412.23-P1P2	NCDN	28.586	162.28	28.586	162.28	2.4644	8937.3	104.51	13.078	1	2.203e-39	4.4061e-39	9.309e-37	True
SH3KBP1_+_19905303.23-P1P2|SH3KBP1_+_19905629.23-P1P2	SH3KBP1	5.1047	53.434	5.1047	53.434	3.1565	1167.9	13.711	13.052	1	3.3686e-39	6.7371e-39	1.4094e-36	True
GAK_-_926017.23-P1P2|GAK_+_926096.23-P1P2	GAK	40.838	205.82	40.838	205.82	2.3055	13610	160	13.043	1	3.4761e-39	6.9523e-39	1.4403e-36	True
ZC3H3_+_144623587.23-P1P2|ZC3H3_+_144623584.23-P1P2	ZC3H3	132.72	468.05	132.72	468.05	1.8105	56221	661.23	13.04	1	3.6098e-39	7.2195e-39	1.4813e-36	True
TOE1_-_45805871.23-P1P2|TOE1_+_45805889.23-P1P2	TOE1	186.83	597.67	186.83	597.67	1.6723	84395	1001	12.985	1	7.4268e-39	1.4854e-38	3.0187e-36	True
CMTR1_-_37401025.23-P1P2|CMTR1_-_37401070.23-P1P2	CMTR1	47.984	228.58	47.984	228.58	2.2286	16307	194.08	12.963	1	9.8817e-39	1.9763e-38	3.9786e-36	True
MADCAM1_-_489194.23-P1P2|MADCAM1_-_489246.23-P1P2	MADCAM1	178.66	575.9	178.66	575.9	1.683	78899	948.15	12.901	1	2.2311e-38	4.4621e-38	8.8988e-36	True
LARP6_+_71146449.23-P1P2|LARP6_-_71146443.23-P1P2	LARP6	232.77	697.62	232.77	697.62	1.5794	1.0804e+05	1307.8	12.854	1	4.086e-38	8.1721e-38	1.6147e-35	True
OR5D14_-_55563298.23-ENST00000335605.1|OR5D14_+_55563075.23-ENST00000335605.1	OR5D14	17.356	114.78	17.356	114.78	2.6571	4746.2	57.766	12.819	1	6.4927e-38	1.2985e-37	2.5421e-35	True
ATXN10_+_46067906.23-P1P2|ATXN10_-_46067769.23-P1P2	ATXN10	118.43	425.5	118.43	425.5	1.8364	47145	576.06	12.794	1	8.8772e-38	1.7754e-37	3.4442e-35	True
LUC7L_-_279352.23-P1P2|LUC7L_+_279263.23-P1P2	LUC7L	337.93	918.28	337.93	918.28	1.4395	1.684e+05	2059.8	12.787	1	9.6831e-38	1.9366e-37	3.723e-35	True
GID8_+_61569497.23-P1P2|GID8_+_61569541.23-P1P2	GID8	277.7	790.63	277.7	790.63	1.5061	1.3155e+05	1621.3	12.739	1	1.7954e-37	3.5908e-37	6.8414e-35	True
FKBP1B_+_24272596.23-P1P2|FKBP1B_-_24272643.23-P1P2	FKBP1B	112.3	407.68	112.3	407.68	1.8508	43625	540.22	12.709	1	2.6506e-37	5.3013e-37	1.0011e-34	True
FAM149B1_-_74927965.23-P1P2|FAM149B1_+_74928033.23-P1P2	FAM149B1	50.026	230.56	50.026	230.56	2.1821	16296	204.02	12.639	1	6.4284e-37	1.2857e-36	2.4066e-34	True
STAG3_+_99775559.23-P1P2|STAG3_-_99775579.23-P1P2	STAG3	904.55	1936.5	904.55	1936.5	1.0973	5.3246e+05	6880.7	12.441	1	7.8697e-36	1.5739e-35	2.9206e-33	True
MBD3_+_1592727.23-P1P2|MBD3_-_1592314.23-P1P2	MBD3	12.251	88.068	12.251	88.068	2.7488	2874.1	38.272	12.255	1	8.0566e-35	1.6113e-34	2.9641e-32	True
PALD1_+_72238642.23-P1P2|PALD1_-_72238592.23-P1P2	PALD1	5.1047	50.466	5.1047	50.466	3.0756	1028.8	13.711	12.251	1	9.1116e-35	1.8223e-34	3.3236e-32	True
RBMX2_-_129536016.23-P1P2|RBMX2_-_129536058.23-P1P2	RBMX2	10.209	78.172	10.209	78.172	2.8203	2309.5	30.875	12.231	1	1.0942e-34	2.1885e-34	3.9576e-32	True
EFHC1_-_52285167.23-P1P2|EFHC1_-_52285184.23-P1P2	EFHC1	223.59	655.07	223.59	655.07	1.5466	93087	1245.2	12.227	1	1.1101e-34	2.2202e-34	3.9812e-32	True
GMPR2_-_24702203.23-P1P2|GMPR2_+_24702140.23-P1P2	GMPR2	414.5	1043	414.5	1043	1.3291	1.9748e+05	2643.5	12.223	1	1.168e-34	2.3359e-34	4.1539e-32	True
PSMC5_-_61904879.23-P1P2|PSMC5_-_61904830.23-P1P2	PSMC5	0	18.801	1.0209	18.801	3.2925	176.74	2.1467	12.135	1	4.5356e-34	9.0712e-34	1.5738e-31	True
LSM4_+_18433820.23-P1P2|LSM4_-_18433893.23-P1P2	LSM4	0	18.801	1.0209	18.801	3.2925	176.74	2.1467	12.135	1	4.5356e-34	9.0712e-34	1.5738e-31	True
PALB2_-_23652582.23-P1P2|PALB2_+_23652295.23-P1P2	PALB2	0	18.801	1.0209	18.801	3.2925	176.74	2.1467	12.135	1	4.5356e-34	9.0712e-34	1.5738e-31	True
HEY1_-_80679962.23-P1P2|HEY1_+_80679905.23-P1P2	HEY1	187.85	569.97	187.85	569.97	1.5961	73005	1007.7	12.037	1	1.1315e-33	2.263e-33	3.8944e-31	True
CLASRP_-_45542349.23-P1P2|CLASRP_-_45542376.23-P1P2	CLASRP	1044.4	2134.4	1044.4	2134.4	1.0304	5.9403e+05	8211.4	12.028	1	1.259e-33	2.518e-33	4.2986e-31	True
DPH2_-_44435714.23-P1P2|DPH2_-_44435901.23-P1P2	DPH2	149.06	474.97	149.06	474.97	1.6654	53110	761.07	11.814	1	1.6551e-32	3.3102e-32	5.606e-30	True
TRIP12_-_230786461.23-P1P2|TRIP12_-_230786488.23-P1P2	TRIP12	242.98	678.81	242.98	678.81	1.4784	94974	1377.9	11.741	1	3.9268e-32	7.8536e-32	1.3196e-29	True
TRAPPC10_-_45432698.23-P1P2|TRAPPC10_+_45432705.23-P1P2	TRAPPC10	10.209	75.204	10.209	75.204	2.7652	2112.1	30.875	11.697	1	6.8266e-32	1.3653e-31	2.2761e-29	True
PSPH_-_56101635.23-P1|PSPH_+_56101777.23-P1	PSPH	17.356	104.89	17.356	104.89	2.5282	3831.1	57.766	11.517	1	5.4756e-31	1.0951e-30	1.8115e-28	True
IFFO1_-_6664952.23-P1|IFFO1_-_6664799.23-P1	IFFO1	0	17.811	1.0209	17.811	3.2185	158.62	2.1467	11.46	1	1.3852e-30	2.7705e-30	4.5476e-28	True
RPL22L1_+_170587680.23-P1P2|RPL22L1_+_170587923.23-P1P2	RPL22L1	183.77	540.28	183.77	540.28	1.5507	63550	981.15	11.382	1	2.5802e-30	5.1603e-30	8.4058e-28	True
PTCD3_-_86333438.23-P1P2|PTCD3_+_86333402.23-P1P2	PTCD3	7.1466	58.382	7.1466	58.382	2.8658	1312.5	20.313	11.368	1	3.2017e-30	6.4033e-30	1.0352e-27	True
