sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
GJD3_-_38519861.23-P2|GJD3_-_38519881.23-P2	GJD3	3.7282/346.79/4.2996	580.85/1807.8/1301	4.2996	1301	7.9407	58649	266.02	79.505	1	0	0	0	True
EXOSC9_-_122722527.23-P1P2|EXOSC9_-_122722508.23-P1P2	EXOSC9	130.49/0.79721/1.0749	1130.5/138.35/585.18	1.0749	585.18	8.1422	8373.8	61.768	74.321	1	0	0	0	True
XRN1_+_142166856.23-P1P2|XRN1_-_142166648.23-P1P2	XRN1	1.8641/3.1888/3.2247	888.42/1035.3/1175.2	3.1888	1035.3	7.9507	0.8781	194.18	74.069	1	0	0	0	True
SRPR_+_126138730.23-P1P2|SRPR_-_126138703.23-P1P2	SRPR	0.93205/1.5944/3.2247	231.72/695.21/838.85	1.5944	695.21	8.068	1.5483	93.566	71.707	1	0	0	0	True
CPSF3_+_9564024.23-P1P2|CPSF3_+_9563875.23-P1P2	CPSF3	178.02/6.3777/12.899	2065.7/2024.5/1887.2	12.899	2024.5	7.1872	13654	846.25	69.151	1	0	0	0	True
STRN4_+_47249248.23-P1P2|STRN4_+_47249668.23-P1P2	STRN4	0/0.79721/219.28	448.88/713.66/6.7262	0.79721	448.88	7.9677	23868	45.087	66.733	1	0	0	0	True
GCNT7_-_55100973.23-ENST00000243913.4|GCNT7_-_55100729.23-ENST00000243913.4	GCNT7	0.93205/0/1.0749	370.95/658.32/460.26	0.93205	460.26	7.8993	0.44456	53.154	63.003	1	0	0	0	True
PPP1R13L_+_45908182.23-P1|PPP1R13L_-_45908257.23-P1	PPP1R13L	147.26/0.79721/1.0749	747.1/0/488.13	1.0749	488.13	7.881	10686	61.768	61.972	1	0	0	0	True
MCM6_+_136633947.23-P1P2|MCM6_+_136633964.23-P1P2	MCM6	0.93205/0.79721/131.14	263.93/446.18/528.49	0.93205	446.18	7.8546	8476.8	53.154	61.071	1	0	0	0	True
WDR7_-_54318645.23-P1P2|WDR7_+_54318670.23-P1P2	WDR7	2.7962/125.96/21.498	2261/3740.1/1503.8	21.498	2261	6.6517	5630.9	1449.4	58.825	1	0	0	0	True
SLC22A3_+_160769454.23-P1P2|SLC22A3_-_160769417.23-P1P2	SLC22A3	0/1.5944/2.1498	567.34/757.47/115.31	1.5944	567.34	7.7752	1.4253	93.566	58.488	1	0	0	0	True
DMRTC2_+_42349304.23-P1P2|DMRTC2_-_42349522.23-P1P2	DMRTC2	104.39/1.5944/3.2247	798.02/1624.5/464.11	3.2247	798.02	7.5632	5118.5	196.48	56.702	1	0	0	0	True
ASNA1_+_12848373.23-P1P2|ASNA1_+_12848657.23-P1P2	ASNA1	8.3885/165.02/170.91	6866.3/6405.6/4511.3	165.02	6405.6	5.2701	12284	12407	56.027	1	0	0	0	True
PSENEN_-_36236585.23-P1P2|PSENEN_+_36236579.23-P1P2	PSENEN	0.93205/3.986/1.0749	322.12/940.78/437.2	1.0749	437.2	7.7224	4.2476	61.768	55.492	1	0	0	0	True
PI4KB_-_151299873.23-P1P2|PI4KB_-_151299840.23-P1P2	PI4KB	0.93205/2.3916/4.2996	867.64/665.23/577.49	2.3916	665.23	7.6179	2.8854	143.41	55.349	1	0	0	0	True
DDX54_+_113623252.23-P1|DDX54_-_113623260.23-P1	DDX54	0.93205/1.5944/2.1498	532.01/530.34/442.01	1.5944	530.34	7.6781	0.37359	93.566	54.663	1	0	0	0	True
ATP6V1F_-_128502898.23-P1P2|ATP6V1F_+_128503227.23-P1P2	ATP6V1F	0/0.79721/2.1498	100.79/390.84/359.37	0.79721	359.37	7.6476	1.2325	45.087	53.401	1	0	0	0	True
GOLT1B_+_21654765.23-P1P2|GOLT1B_+_21654809.23-P1P2	GOLT1B	112.78/4.7833/6.4494	908.16/1245.2/1063.7	6.4494	1063.7	7.1591	5654.3	407.76	52.357	1	0	0	0	True
RPP38_+_15139555.23-P1P2|RPP38_+_15139358.23-P1P2	RPP38	0/0.79721/148.34	352.25/314.75/1322.2	0.79721	352.25	7.6188	10884	45.087	52.341	1	0	0	0	True
LEPROTL1_+_29953187.23-P1P2|LEPROTL1_+_29952990.23-P1P2	LEPROTL1	233.95/279.02/379.44	7397.2/8484.3/7816.8	279.02	7816.8	4.8031	6057.9	21575	51.317	1	0	0	0	True
NOTCH2_+_120611566.23-P1P2|NOTCH2_-_120611718.23-P1P2	NOTCH2	193.87/2.3916/4.2996	628.65/831.25/1008	4.2996	831.25	7.295	17970	266.02	50.702	1	0	0	0	True
CLASRP_-_45542349.23-P1P2|CLASRP_-_45542376.23-P1P2	CLASRP	3731/3948.6/4024.4	31549/34741/33798	3948.6	33798	3.0972	26545	3.5188e+05	50.32	1	0	0	0	True
RPL11_+_24018674.23-P1P2|RPL11_+_24018347.23-P1P2	RPL11	247.93/0/1.0749	732.55/249.03/393	1.0749	393	7.569	30468	61.768	49.868	1	0	0	0	True
TPRKB_+_73964387.23-P1P2|TPRKB_-_73964451.23-P1P2	TPRKB	137.94/3.1888/5.3745	1835/479.61/910.92	5.3745	910.92	7.1604	8789.7	336.51	49.364	1	0	0	0	True
MSL1_+_38278860.23-P1P2|MSL1_+_38278902.23-P1P2	MSL1	493.06/599.5/612.7	11396/10618/13081	599.5	11396	4.2463	5752.3	48293	49.128	1	0	0	0	True
PCM1_-_17780764.23-P1P2|PCM1_+_17780823.23-P1P2	PCM1	3.7282/308.52/6.4494	809.45/992.66/1068.5	6.4494	992.66	7.0595	45627	407.76	48.839	1	0	0	0	True
PRC1_+_91537740.23-P1P2|PRC1_+_91537748.23-P1P2	PRC1	52.195/0/1.0749	479.02/252.49/384.35	1.0749	384.35	7.537	1307.2	61.768	48.768	1	0	0	0	True
RPL24_-_101405503.23-P1P2|RPL24_+_101405498.23-P1P2	RPL24	0.93205/2.3916/1.0749	98.713/487.68/383.39	1.0749	383.39	7.5334	0.87708	61.768	48.646	1	0	0	0	True
ISG20L2_+_156698201.23-P1P2|ISG20L2_-_156698173.23-P1P2	ISG20L2	0/1.5944/1.0749	382.38/496.91/190.25	1.0749	382.38	7.5296	0.71266	61.768	48.517	1	0	0	0	True
PAM16_+_4401248.23-P1P2|PAM16_-_4401236.23-P1P2	PAM16	0/0/0	290.94/325.12/451.62	0.79721	325.12	7.5035	0	45.087	48.301	1	0	0	0	True
POU3F1_+_38512447.23-P1P2|POU3F1_+_38512374.23-P1P2	POU3F1	3056.2/3396.1/4179.2	29832/31197/29249	3396.1	29832	3.1345	3.6441e+05	3.0021e+05	48.248	1	0	0	0	True
MDN1_+_90529477.23-P1P2|MDN1_-_90529439.23-P1P2	MDN1	509.83/8.7693/12.899	978.82/1414.6/1434.6	12.899	1414.6	6.6703	1.2348e+05	846.25	48.185	1	0	0	0	True
STAG3_+_99775559.23-P1P2|STAG3_-_99775579.23-P1P2	STAG3	988.91/928.75/1142.6	14680/15712/13510	988.91	14680	3.8905	13624	81826	47.863	1	0	0	0	True
RRP1_+_45209480.23-P1P2|RRP1_-_45209489.23-P1P2	RRP1	61.516/1.5944/2.1498	281.59/762.08/541.94	2.1498	541.94	7.4294	1762.3	128.18	47.677	1	0	0	0	True
DNAJB5_-_34989751.23-P1|DNAJB5_-_34989760.23-P1	DNAJB5	0/3.986/150.49	849.97/578.77/742.76	3.986	742.76	7.2208	10739	245.63	47.139	1	0	0	0	True
CHORDC1_-_89955982.23-P1P2|CHORDC1_-_89955894.23-P1P2	CHORDC1	2299.4/2530.3/2292.8	21518/23548/23202	2299.4	23202	3.3344	26694	1.9906e+05	46.851	1	0	0	0	True
FAM203A_-_145192776.23-ENST00000347708.4|FAM203A_+_145193123.23-ENST00000347708.4	FAM203A	1236.8/1080.2/1753.2	16254/17884/13800	1236.8	16254	3.715	1.4556e+05	1.0357e+05	46.663	1	0	0	0	True
SF3B14_-_24298806.23-P1P2|SF3B14_-_24298829.23-P1P2	SF3B14	0/0/138.66	448.88/0/312.29	0.79721	312.29	7.4456	9613.7	45.087	46.389	1	0	0	0	True
CIAO1_-_96932005.23-P1P2|CIAO1_+_96932066.23-P1P2	CIAO1	918.07/509.42/1273.8	13397/11688/14377	918.07	13397	3.8657	1.4676e+05	75663	45.366	1	0	0	0	True
DDT_+_24316746.23-ENST00000398344.4|DDT_-_24316680.23-ENST00000398344.4	DDT	3.7282/4.7833/9.6741	1094.2/162.56/781.2	4.7833	781.2	7.0795	12.517	297.63	45.004	1	0	0	0	True
P2RX7_-_121570779.23-P1P2|P2RX7_-_121571040.23-P1P2	P2RX7	77.36/0/0	297.18/415.05/0.96088	0.79721	297.18	7.3743	2992.3	45.087	44.139	1	0	0	0	True
COG1_+_71189215.23-P1P2|COG1_-_71189243.23-P1P2	COG1	1.8641/2.3916/4.2996	491.49/1307.4/521.76	2.3916	521.76	7.268	1.9594	143.41	43.369	1	0	0	0	True
MAP4_+_48129928.23-P1P2|MAP4_+_48130309.23-P1P2	MAP4	0/0.79721/4.2996	140.28/377/290.19	0.79721	290.19	7.34	6.4512	45.087	43.098	1	0	0	0	True
NCDN_+_36023494.23-P1P2|NCDN_-_36023412.23-P1P2	NCDN	337.4/3.986/4.2996	960.11/185.62/705.29	4.2996	705.29	7.0582	55479	266.02	42.979	1	0	0	0	True
NLE1_+_33469287.23-P1P2|NLE1_-_33469053.23-P1P2	NLE1	0/0.79721/1.0749	221.33/289.38/442.97	0.79721	289.38	7.3361	0.35633	45.087	42.978	1	0	0	0	True
SACM1L_-_45730905.23-P1P2|SACM1L_-_45730829.23-P1P2	SACM1L	0/0.79721/1.0749	677.48/12.682/287.3	0.79721	287.3	7.3257	0.35633	45.087	42.669	1	0	0	0	True
ELMO2_+_45035216.23-P1P2|ELMO2_-_45035202.23-P1P2	ELMO2	0/2.3916/135.44	1275/181.01/511.19	2.3916	511.19	7.2386	8853.5	143.41	42.486	1	0	0	0	True
NMD3_-_160939520.23-P1P2|NMD3_-_160939105.23-P1P2	NMD3	0/3.1888/2.1498	1127.4/483.07/401.65	2.1498	483.07	7.2638	2.8506	128.18	42.478	1	0	0	0	True
PTEN_+_89623582.23-P1P2|PTEN_-_89623526.23-P1P2	PTEN	907.82/1684.5/798.65	13423/10896/12426	907.82	12426	3.7734	3.0758e+05	74773	42.123	1	0	0	0	True
HARS_+_140070923.23-P1P2|HARS_+_140070910.23-P1P2	HARS	0/0.79721/1.0749	278.47/156.8/343.04	0.79721	278.47	7.2808	0.35633	45.087	41.354	1	0	0	0	True
ISM2_+_77964894.23-P1P2|ISM2_-_77965118.23-P1P2	ISM2	121.17/2.3916/1.0749	39.485/754.01/496.78	2.3916	496.78	7.1974	7054.7	143.41	41.283	1	0	0	0	True
COG6_-_40229866.23-P1P2|COG6_+_40230096.23-P1P2	COG6	86.681/5.5805/2.1498	916.47/772.46/696.64	5.5805	772.46	6.877	3294.5	350.1	40.985	1	0	0	0	True
CALM2_-_47403900.23-P1P2|CALM2_+_47403695.23-P1P2	CALM2	2638.6/2638.8/2021.9	24236/19318/22278	2638.6	22278	3.0773	1.9019e+05	2.3012e+05	40.94	1	0	0	0	True
PEX1_-_92157440.23-P1P2|PEX1_+_92157741.23-P1P2	PEX1	240.47/548.48/23.648	5796/6559/3783	240.47	5796	4.5854	70941	18447	40.904	1	0	0	0	True
SLC44A5_+_76081761.23-P1P2|SLC44A5_+_76081779.23-P1P2	SLC44A5	0.93205/204.09/3.2247	674.37/576.46/144.13	3.2247	576.46	7.0947	20175	196.48	40.896	1	0	0	0	True
MAST1_+_12949344.23-P1|MAST1_+_12949376.23-P1	MAST1	905.96/393.02/261.2	6370.6/7582.7/7966.7	393.02	7582.7	4.2666	1.4024e+05	30953	40.866	1	0	0	0	True
ERICH2_-_171640334.23-P1P2|ERICH2_-_171640337.23-P1P2	ERICH2	218.1/1.5944/7.5243	895.69/252.49/967.61	7.5243	895.69	6.7169	22189	479.65	40.554	1	0	0	0	True
WARS_-_100841623.23-P1P2|WARS_+_100841441.23-P1P2	WARS	0/0/1.0749	281.59/270.94/77.832	0.79721	270.94	7.2414	0.57771	45.087	40.231	1	0	0	0	True
ST7L_+_113161739.23-P1P2|ST7L_+_113161728.23-P1P2	ST7L	4.6603/5.5805/158.01	757.49/311.29/1422.1	5.5805	757.49	6.8488	11618	350.1	40.185	1	0	0	0	True
TM9SF4_-_30697607.23-P1P2|TM9SF4_-_30697578.23-P1P2	TM9SF4	329.95/2.3916/2.1498	463.43/481.92/724.51	2.3916	481.92	7.1537	53646	143.41	40.042	1	0	0	0	True
VMP1_-_57785061.23-P1P2|VMP1_-_57785088.23-P1P2	VMP1	0/0.79721/2.1498	269.12/306.68/207.55	0.79721	269.12	7.2317	1.2325	45.087	39.961	1	0	0	0	True
RINT1_-_105172650.23-P1P2|RINT1_+_105172659.23-P1P2	RINT1	304.78/6.3777/52.67	1885.9/3013.7/2491.6	52.67	2491.6	5.5374	32852	3725.2	39.959	1	0	0	0	True
GTF2H5_+_158589422.23-P1P2|GTF2H5_-_158589434.23-P1P2	GTF2H5	96.002/0.79721/2.1498	452/477.31/95.127	2.1498	452	7.1681	4405	128.18	39.733	1	0	0	0	True
KIAA1432_+_5629133.23-P1P2|KIAA1432_+_5629114.23-P1P2	KIAA1432	674.81/279.02/630.97	9221.9/9611.9/9482	630.97	9482	3.9074	62894	50968	39.205	1	0	0	0	True
MED6_+_71067331.23-P1P2|MED6_+_71067347.23-P1P2	MED6	192.94/0/1.0749	234.83/307.83/382.43	1.0749	307.83	7.2176	18406	61.768	39.031	1	0	0	0	True
RPF1_-_84945270.23-P1P2|RPF1_+_84945350.23-P1P2	RPF1	0/0.79721/0	261.85/292.84/83.597	0.79721	261.85	7.1923	0.31777	45.087	38.878	1	0	0	0	True
BRI3_+_97911337.23-P1P2|BRI3_+_97911238.23-P1P2	BRI3	500.51/1017.2/628.82	9097.2/9376.7/10107	628.82	9376.7	3.8962	83666	50785	38.818	1	0	0	0	True
M1AP_+_74875419.23-P1P2|M1AP_+_74875070.23-P1P2	M1AP	2.7962/0.79721/5.3745	501.88/690.6/505.42	2.7962	505.42	7.0597	5.3219	169.08	38.655	1	0	0	0	True
MVD_+_88729520.23-P1P2|MVD_-_88729483.23-P1P2	MVD	0/146.69/2.1498	373.03/989.2/439.12	2.1498	439.12	7.1265	10448	128.18	38.596	1	0	0	0	True
PSMD4_-_151227239.23-P1P2|PSMD4_-_151227243.23-P1P2	PSMD4	0/6.3777/0	259.77/662.93/245.03	0.79721	259.77	7.1809	20.337	45.087	38.568	1	0	0	0	True
RBM28_-_127983894.23-P1P2|RBM28_-_127983855.23-P1P2	RBM28	0/0.79721/1.0749	441.61/235.2/258.48	0.79721	258.48	7.1737	0.35633	45.087	38.376	1	3.0632e-322	6.1264e-322	1.5751e-319	True
MRPL22_-_154320698.23-P1P2|MRPL22_-_154320703.23-P1P2	MRPL22	142.6/0/1.0749	319/300.91/122.03	1.0749	300.91	7.1849	10016	61.768	38.151	1	1.6574e-318	3.3148e-318	8.4207e-316	True
CSTF3_+_33183038.23-P1P2|CSTF3_-_33182802.23-P1P2	CSTF3	136.08/0.79721/2.1498	233.79/690.6/433.36	2.1498	433.36	7.1075	8969.5	128.18	38.086	1	1.8637e-317	3.7273e-317	9.3574e-315	True
PPIL1_+_36842544.23-P1P2|PPIL1_-_36842357.23-P1P2	PPIL1	0/0/2.1498	533.05/254.8/159.51	0.79721	254.8	7.1531	2.3108	45.087	37.827	1	3.693e-313	7.386e-313	1.8327e-310	True
ATF4_-_39916548.23-P1P2|ATF4_-_39917038.23-P1P2	ATF4	600.24/342.8/901.84	10533/8812.9/8912.2	600.24	8912.2	3.8899	78620	48356	37.799	1	5.9789e-313	1.1958e-312	2.933e-310	True
RNASE4_-_21152854.23-P1P2|RNASE4_+_21152724.23-P1P2	RNASE4	631.93/648.93/294.52	9150.2/9550.8/8572	631.93	9150.2	3.8538	57067	51050	37.701	1	2.3841e-311	4.7683e-311	1.1562e-308	True
ARMC7_+_73106080.23-P1P2|ARMC7_-_73106057.23-P1P2	ARMC7	2795.2/2351.8/2310	19342/15954/21229	2351.8	19342	3.0393	99203	2.0384e+05	37.631	1	3.3766e-310	6.7532e-310	1.6192e-307	True
DPH1_-_1933503.23-P1|DPH1_-_1933469.23-P1	DPH1	863.08/999.7/441.79	10799/12677/8018.6	863.08	10799	3.6437	98077	70896	37.317	1	4.3651e-305	8.7302e-305	2.0699e-302	True
C7orf57_+_48075203.23-P1P2|C7orf57_+_48075262.23-P1P2	C7orf57	125.83/0/1.0749	294.06/1.1529/341.11	1.0749	294.06	7.1518	7782.1	61.768	37.279	1	3.2142e-304	6.4284e-304	1.491e-301	True
USP9X_+_40945320.23-P1P2|USP9X_-_40944738.23-P1P2	USP9X	381.21/240.76/621.29	6834.1/5958.3/8326.1	381.21	6834.1	4.1605	38684	29973	37.272	1	2.3478e-304	4.6957e-304	1.1011e-301	True
ZDHHC17_-_77158277.23-P1P2|ZDHHC17_+_77158099.23-P1P2	ZDHHC17	1714/1690.1/996.44	15698/19492/15528	1690.1	15698	3.2147	2.4086e+05	1.4392e+05	36.926	1	8.8453e-299	1.7691e-298	4.0591e-296	True
COG8_+_69373427.23-P1P2|COG8_-_69373434.23-P1P2	COG8	56.855/4.7833/6.4494	989.21/691.75/751.41	6.4494	751.41	6.6582	1271.8	407.76	36.892	1	4.9503e-298	9.9005e-298	2.2475e-295	True
NOC2L_+_894616.23-P1P2|NOC2L_-_894602.23-P1P2	NOC2L	0/155.46/1.0749	8.3127/284.77/474.68	1.0749	284.77	7.1057	11917	61.768	36.097	1	2.267e-285	4.534e-285	1.0184e-282	True
COG4_+_70557377.23-P1P2|COG4_+_70557397.23-P1P2	COG4	480.94/340.41/158.01	6558.7/6070.1/6176.6	340.41	6176.6	4.1775	26509	26603	35.781	1	1.0945e-280	2.189e-280	4.8658e-278	True
RFX3_-_3525599.23-P1P2|RFX3_-_3525984.23-P1P2	RFX3	0.93205/0/4.2996	260.81/380.46/110.5	0.93205	260.81	7.0822	6.1046	53.154	35.645	1	2.5187e-278	5.0373e-278	1.1082e-275	True
AGPAT6_+_41435781.23-P1P2|AGPAT6_-_41435749.23-P1P2	AGPAT6	67.108/2.3916/2.1498	897.77/427.73/282.5	2.3916	427.73	6.982	2094.1	143.41	35.517	1	2.2925e-276	4.585e-276	9.9836e-274	True
FARSB_-_223520739.23-P1P2|FARSB_-_223520751.23-P1P2	FARSB	0/0/3.2247	236.91/10.376/400.69	0.79721	236.91	7.0485	5.1994	45.087	35.164	1	6.5027e-271	1.3005e-270	2.8033e-268	True
AP1G1_-_71842702.23-P1P2|AP1G1_-_71842491.23-P1P2	AP1G1	308.51/26.308/253.68	6448.6/4192/5150.3	253.68	5150.3	4.3382	27352	19516	35.052	1	1.911e-269	3.822e-269	8.1557e-267	True
TECR_+_14640490.23-P1P2|TECR_-_14640440.23-P1P2	TECR	428.74/688.79/405.24	5450/8365.6/6849.2	428.74	6849.2	3.9946	34088	33923	34.859	1	1.5736e-266	3.1472e-266	6.6493e-264	True
MCM5_-_35796550.23-P1P2|MCM5_-_35796201.23-P1P2	MCM5	1.8641/0.79721/139.74	588.12/170.63/366.1	1.8641	366.1	7.0019	9505.1	110.31	34.68	1	1.3899e-263	2.7799e-263	5.8156e-261	True
RRM2_+_10262870.23-P1P2|RRM2_+_10262952.23-P1P2	RRM2	0/1.5944/3.2247	336.66/564.93/119.15	1.5944	336.66	7.024	2.6	93.566	34.64	1	5.616e-263	1.1232e-262	2.327e-260	True
ATRIP_-_48488199.23-P1P2|ATRIP_-_48488160.23-P1P2	ATRIP	221.83/0/0	232.76/671/2.8827	0.79721	232.76	7.0231	24604	45.087	34.545	1	1.5508e-261	3.1017e-261	6.3641e-259	True
KIAA0100_+_26972106.23-P1P2|KIAA0100_+_26971983.23-P1P2	KIAA0100	817.41/1187.8/709.44	9750.8/10783/3022.9	817.41	9750.8	3.5748	74438	66949	34.526	1	1.6565e-261	3.3129e-261	6.7328e-259	True
SCN1B_-_35521391.23-P1P2|SCN1B_-_35521422.23-P1P2	SCN1B	2403.8/1888.6/1837	15654/15370/16314	1888.6	15654	3.0505	1.3403e+05	1.6178e+05	34.223	1	5.4733e-257	1.0947e-256	2.2037e-254	True
NPRL3_-_188187.23-P1P2|NPRL3_+_188635.23-P1P2	NPRL3	867.74/528.55/252.6	7460.6/7778.7/6140	528.55	7460.6	3.8167	95599	42291	33.708	1	2.1929e-249	4.3857e-249	8.7464e-247	True
AUTS2_+_69063482.23-P1P2|AUTS2_+_69063642.23-P1P2	AUTS2	0.93205/1.5944/0	690.99/245.57/171.04	0.93205	245.57	6.9957	0.65372	53.154	33.555	1	6.8499e-247	1.37e-246	2.7069e-244	True
RRS1_+_67341292.23-P1P2|RRS1_+_67341681.23-P1P2	RRS1	0/0.79721/0	224.44/273.24/172.96	0.79721	224.44	6.9709	0.31777	45.087	33.307	1	2.7973e-243	5.5945e-243	1.0952e-240	True
EIF5B_-_99953906.23-P1P2|EIF5B_-_99953921.23-P1P2	EIF5B	178.95/534.93/351.49	6058.9/5866.1/4399.9	351.49	5866.1	4.057	31709	27517	33.244	1	1.2768e-242	2.5536e-242	4.9537e-240	True
TRAF3IP1_+_239229559.23-P1P2|TRAF3IP1_-_239229206.23-P1P2	TRAF3IP1	66.176/0/2.1498	116.38/411.59/376.67	2.1498	376.67	6.9057	2052	128.18	33.079	1	5.1509e-240	1.0302e-239	1.9804e-237	True
AP1M1_+_16308778.23-P1P2|AP1M1_-_16308748.23-P1P2	AP1M1	139.81/1200.6/269.8	4860.8/6426.4/5035	269.8	5035	4.217	4.4164e+05	20825	33.021	1	2.0708e-239	4.1415e-239	7.8907e-237	True
DOCK6_-_11372730.23-P1P2|DOCK6_+_11372682.23-P1P2	DOCK6	584.4/485.5/898.62	7568.7/7842.2/5349.2	584.4	7568.7	3.6927	54258	47012	32.212	1	6.0207e-228	1.2041e-227	2.2739e-225	True
CAMLG_+_134074264.23-P1P2|CAMLG_+_134074249.23-P1P2	CAMLG	933.92/547.68/191.33	6448.6/7235.7/8516.3	547.68	7235.7	3.7213	1.3808e+05	43906	31.918	1	7.5184e-224	1.5037e-223	2.8147e-221	True
HDAC3_+_141016415.23-P1P2|HDAC3_-_141016238.23-P1P2	HDAC3	191.07/1.5944/2.1498	434.34/317.05/361.29	2.1498	361.29	6.8457	17846	128.18	31.721	1	6.881e-221	1.3762e-220	2.5536e-218	True
C10orf76_-_103815932.23-P1P2|C10orf76_+_103815854.23-P1P2	C10orf76	731.66/1291.5/356.87	8424.9/8117.7/8891.1	731.66	8424.9	3.5236	2.2693e+05	59572	31.52	1	2.2968e-218	4.5937e-218	8.4504e-216	True
FNTA_-_42911755.23-P1P2|FNTA_-_42911495.23-P1P2	FNTA	0/0.79721/264.43	211.97/314.75/190.25	0.79721	211.97	6.8888	34751	45.087	31.45	1	3.8379e-217	7.6759e-217	1.4e-214	True
LHFPL4_-_9595441.23-P1P2|LHFPL4_-_9595057.23-P1P2	LHFPL4	0/2.3916/10.749	549.68/1.1529/378.59	2.3916	378.59	6.8063	37.783	143.41	31.414	1	1.1398e-216	2.2797e-216	4.1225e-214	True
PIP4K2C_-_57985075.23-P1P2|PIP4K2C_+_57985384.23-P1P2	PIP4K2C	0/128.35/1.0749	114.3/247.88/320.94	1.0749	247.88	6.9062	8100.1	61.768	31.403	1	1.6669e-216	3.3338e-216	5.9781e-214	True
GINS3_+_58426400.23-P1P2|GINS3_+_58426428.23-P1P2	GINS3	60.583/0/4.2996	783.47/327.43/512.15	4.2996	512.15	6.5974	1593.2	266.02	31.137	1	6.2684e-213	1.2537e-212	2.2294e-210	True
S100A11_+_152009236.23-P1P2|S100A11_+_152009488.23-P1P2	S100A11	1138/1750.7/627.74	10969/10715/10639	1138	10715	3.2339	3.1786e+05	94877	31.093	1	1.5139e-212	3.0278e-212	5.3396e-210	True
RRAGA_+_19049430.23-P1P2|RRAGA_+_19049452.23-P1P2	RRAGA	173.36/1.5944/4.2996	240.03/538.41/510.23	4.2996	510.23	6.5919	14295	266.02	31.019	1	2.4497e-211	4.8994e-211	8.5696e-209	True
ECEL1_+_233351222.23-P1P2|ECEL1_+_233351211.23-P1P2	ECEL1	14401/12332/9640.8	46118/45711/43683	12332	45711	1.89	5.762e+06	1.1682e+06	30.883	1	1.0218e-209	2.0435e-209	3.5452e-207	True
YAE1D1_+_39606256.23-P1P2|YAE1D1_-_39606026.23-P1P2	YAE1D1	521.02/17.539/144.04	3292.9/3343.5/3450.5	144.04	3343.5	4.5273	79058	10750	30.857	1	2.4288e-209	4.8576e-209	8.3594e-207	True
RPS19_-_42364369.23-P1P2|RPS19_+_42364314.23-P1P2	RPS19	0.93205/0/0	0/298.61/207.55	0.79721	207.55	6.8585	0.43436	45.087	30.791	1	3.1271e-208	6.2542e-208	1.0677e-205	True
ANKRD11_+_89556932.23-P1P2|ANKRD11_-_89556765.23-P1P2	ANKRD11	960.02/624.21/785.76	6864.2/10419/8574	785.76	8574	3.4461	28231	64221	30.733	1	1.0439e-207	2.0879e-207	3.536e-205	True
